Timestamp,Név,Febr. 3--5.,Febr. 10--12.,Febr. 17--19.,Febr. 24--26.,Márc. 3--5.,Márc. 10--12.,Márc. 17--19.,Márc. 24--26.,Márc. 31. -- ápr. 2.,Ápr. 7--9.,Tavaszi szünet,Ápr. 21--23.,Ápr. 28. -- máj. 1. (hétfő),Máj. 5--7.,Máj. 12--14.,Máj. 19--21.,Máj. 26--28.,Jún. 3--5.,Jún. 10--12.,Jún. 16--18.,Jún. 23--25.
Hetedikes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ka,20,17,10,10,16,14,16,16,15,20,15,15,16,20,17,20,16,19,18,19,16,9
Kb,30,19,25,20,24,11,22,28,19,29,30,17,27,24,30,29,17,26,29,23,29,27
Lemur,36,25,20,25,24,24,33,29,32,34,34,23,27,35,29,33,34,34,35,31,33,33
Mongúz,26,17,18,12,18,20,21,22,18,25,25,17,24,26,22,24,26,25,25,24,24,22
Okapi,28,23,16,26,18,14,26,24,21,25,22,18,23,27,25,23,27,26,23,22,26,24
Beluga,19,12,14,12,15,15,16,16,19,17,14,11,16,16,12,17,19,15,15,12,16,15
Bébé,15,11,10,12,15,13,15,14,15,14,12,5,13,12,11,12,14,14,15,14,13,12
Medve,23,17,9,14,12,15,21,20,17,14,20,17,14,19,22,22,23,22,22,20,19,18
Összesen,197,,,,,,,,,,,,,,,,,,,,,
Akiknek rossz,,,,,,,,,,,,,,,,,,,,,,
Hetedikes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ka,20,3,10,10,4,6,4,4,5,0,5,5,4,0,3,0,4,1,2,1,4,11
Kb,30,11,5,10,6,19,8,2,11,1,0,13,3,6,0,1,13,4,1,7,1,3
Lemur,36,11,16,11,12,12,3,7,4,2,2,13,9,1,7,3,2,2,1,5,3,3
Mongúz,26,9,8,14,8,6,5,4,8,1,1,9,2,0,4,2,0,1,1,2,2,4
Okapi,28,5,12,2,10,14,2,4,7,3,6,10,5,1,3,5,1,2,5,6,2,4
Beluga,19,7,5,7,4,4,3,3,0,2,5,8,3,3,7,2,0,4,4,7,3,4
Bébé,15,4,5,3,0,2,0,1,0,1,3,10,2,3,4,3,1,1,0,1,2,3
Medve,23,6,14,9,11,8,2,3,6,9,3,6,9,4,1,1,0,1,1,3,4,5
